GISJOIN,ruggedness_mean
G2100510,6.842299461364746
G2101390,1.3573909997940063
G2101230,1.9192836284637451
G2101610,2.434762716293335
G2101410,1.1531130075454712
G2101270,5.676022052764893
G2100530,3.289304733276367
G2100930,1.708351492881775
G2101250,3.240788221359253
G2102130,0.789633572101593
G2100290,2.5182127952575684
G2100650,4.791018009185791
G2100670,1.0621119737625122
G2100910,1.7540241479873657
G2101530,6.401961326599121
G2101930,7.264542579650879
G2101070,1.0855351686477661
G2101110,1.0923068523406982
G2101970,5.11287784576416
G2100010,2.601628303527832
G2100610,2.6469404697418213
G2101010,0.5993938446044922
G2100250,7.315040111541748
G2102010,3.335604190826416
G2100310,1.9825376272201538
G2100690,2.7174811363220215
G2100110,2.887395143508911
G2101310,7.955261707305908
G2100270,2.09186053276062
G2102190,1.251585841178894
G2101830,1.661167025566101
G2101490,0.7156277894973755
G2102250,0.8290975689888
G2101650,5.5215654373168945
G2101190,7.938150405883789
G2101730,2.227381706237793
G2101510,2.5454485416412354
G2100870,2.128840208053589
G2100830,0.8151865601539612
G2101570,0.8991702795028687
G2101690,2.4914984703063965
G2102330,1.023085594177246
G2102390,1.5830209255218506
G2101130,1.9089909791946411
G2101790,2.0788087844848633
G2101550,2.644460678100586
G2102370,5.31732177734375
G2100470,1.176367998123169
G2100050,2.643429756164551
G2101710,2.797616481781006
G2100970,2.2707314491271973
G2100230,3.409419059753418
G2101990,3.344562530517578
G2201190,0.686486005783081
G2200950,0.05808266997337341
G2201110,0.9896442294120789
G2200050,0.13397739827632904
G2200550,0.17203442752361298
G2200710,0.15819913148880005
G2200730,0.6541231870651245
G2201270,0.8240282535552979
G2200150,0.49395227432250977
G2201170,0.7468231320381165
G2200750,0.09755159169435501
G2201230,0.16251231729984283
G2200090,0.18783190846443176
G2200010,0.12890462577342987
G2200930,0.09061264246702194
G2200490,0.9274216294288635
G2200910,0.6583635807037354
G2200630,0.13942129909992218
G2200670,0.19943678379058838
G2200130,0.9719972014427185
G2200190,0.2174401879310608
G2200250,0.6572076678276062
G2201090,0.09109948575496674
G2200370,0.7065184712409973
G2200770,0.17589907348155975
G2200510,0.1152687594294548
G2200690,0.8759355545043945
G2200990,0.10267749428749084
G2200410,0.18615441024303436
G2201130,0.07777766138315201
G2201050,0.4348897337913513
G2201030,0.2555098235607147
G2200970,0.21520383656024933
G2200310,0.7484821081161499
G2200350,0.17052070796489716
G2201010,0.09794528037309647
G2200070,0.05364936962723732
G2200570,0.07531070709228516
G2200470,0.08879617601633072
G2200890,0.07238396257162094
G2201150,0.8145793676376343
G2200610,1.2230308055877686
G2200430,0.8199597597122192
G2200450,0.09922371804714203
G2200210,0.7294712066650391
G2200290,0.20722977817058563
G2200870,0.11716138571500778
G2200230,0.07585176825523376
G2200270,1.0893523693084717
G2200790,0.5787587761878967
G2200330,0.2633427381515503
G2200830,0.16889731585979462
G2200650,0.18101637065410614
G2201070,0.2012810856103897
G2200850,0.9359683394432068
G2200170,0.5019486546516418
G2201250,1.0665854215621948
G2200810,0.46322911977767944
G2201210,0.12049043923616409
G2300070,2.808345317840576
G2300170,2.8677866458892822
G2300050,1.2321972846984863
G2300270,1.4713177680969238
G2300310,1.188554048538208
G2300130,1.5652735233306885
G2300090,1.397894263267517
G2300010,1.3710490465164185
G2300150,1.421902060508728
G2300250,1.6062755584716797
G2300210,1.6232365369796753
G2300110,1.2286291122436523
G2300190,1.0486502647399902
G2300030,1.3178822994232178
G2300230,1.4091401100158691
G2300290,1.0298659801483154
G2400190,0.1134742870926857
G2400210,1.8766632080078125
G2400350,0.3371105492115021
G2400270,1.478859782218933
G2400290,0.5155335068702698
G2400130,1.744249939918518
G2400250,1.438139796257019
G2400470,0.1743188500404358
G2400450,0.17411422729492188
G2400150,1.081400990486145
G2400370,0.9992648959159851
G2400230,3.0314202308654785
G2400330,1.1281119585037231
G2400030,1.1163097620010376
G2400110,0.2426488697528839
G2400170,0.9819431900978088
G2400090,1.7283055782318115
G2400310,1.3521636724472046
G2400410,0.31511804461479187
G2400390,0.09307394921779633
G2400430,2.0513620376586914
G2400050,1.6470491886138916
G2405100,1.0263293981552124
G2400010,3.979212760925293
G2500010,0.9439540505409241
G2500070,0.8130375742912292
G2500230,0.7085950970649719
G2500090,1.07582426071167
G2500030,2.6200387477874756
G2500270,1.497060775756836
G2500110,2.6892855167388916
G2500210,0.9728226661682129
G2500190,0.5265359282493591
G2500150,1.917473554611206
G2500170,1.0731191635131836
